feature_set,feature,p_value,rank_biserial,abs_rank_biserial,mean_controls,mean_impaired,rank,selected
all_features,Duncaniella,,,,0.0025180625000000003,0.0,101,True
all_features,Duodenibacillus,,,,0.0872160625,0.02285796380090498,102,True
all_features,Dysosmobacter,,,,0.20860337500000004,0.15519298642533938,103,True
all_features,Eggerthella,,,,0.21074143750000002,0.2753827149321267,104,True
all_features,Eggerthellaceae_unclassified,,,,8.0625e-06,0.0,105,True
all_features,Eisenbergiella,,,,0.0923815625,0.06051194570135747,106,True
all_features,Ellagibacter,,,,0.0223278125,0.025236244343891406,107,True
all_features,Emergencia,,,,0.0128165,0.02108334841628959,108,True
all_features,Enorma,,,,0.005058249999999999,0.0026957013574660633,109,True
all_features,Enterobacter,,,,0.04390143750000001,0.03643357466063349,110,True
all_features,Enterocloster,,,,0.2899895625,0.2042985067873303,111,True
all_features,Enterococcus,,,,0.0430610625,0.05348185520361991,112,True
all_features,Enteroscipio,,,,0.003169375,0.0017075113122171947,113,True
all_features,Erysipelatoclostridium,,,,0.19837081250000002,0.3659529411764706,114,True
all_features,Erysipelotrichaceae_unclassified,,,,0.010527,0.0454164705882353,115,True
all_features,Escherichia,,,,0.5061738749999999,0.40928384615384616,116,True
all_features,Eubacteriaceae_unclassified,,,,0.2270095,0.14936058823529416,117,True
all_features,Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,,,,0.0008064999999999999,0.0005421719457013575,118,True
all_features,Eubacteriales_unclassified,,,,0.4593073125,0.4831950678733031,119,True
all_features,Eubacterium,,,,0.357672125,0.4785933936651584,120,True
all_features,Evtepia,,,,0.13809787499999998,0.2430353846153846,121,True
all_features,Extibacter,,,,0.0,3.7647058823529415e-05,122,True
all_features,Faecalibacillus,,,,0.43093587499999997,0.47011959276018106,123,True
all_features,Faecalibacterium,,,,4.5385219375000005,3.323962262443439,124,True
all_features,Faecalicatena,,,,0.21798443750000002,0.17864624434389137,125,True
all_features,Faecalicoccus,,,,0.0011600625,0.007240769230769231,126,True
all_features,Faecalimonas,,,,0.07640218750000001,0.08451307692307691,127,True
all_features,Faecalitalea,,,,0.008439812500000001,0.15587009049773756,128,True
all_features,Feifania,,,,0.0002205625,6.552036199095023e-05,129,True
all_features,Fenollaria,,,,0.0007105,0.00011678733031674208,130,True
